mmu-miR-7119-3p	miR-7119-3p
mml-miR-548b	miR-548bd-3p
mml-miR-548d-3p	miR-548bd-3p
bta-miR-2285u	miR-2285u
mml-miR-548h-3p	miR-548h-3p
bta-miR-2284aa	miR-2284aa/2284z
bta-miR-2284z	miR-2284aa/2284z
ptr-miR-548c	miR-548c
bta-miR-2285x	miR-2285x
mml-miR-548f	miR-548
bta-miR-2285j	miR-2285j
bta-miR-2285n	miR-2285n
mml-miR-548c	miR-548cej-3p
mml-miR-548e	miR-548cej-3p
mml-miR-548j-3p	miR-548cej-3p
bta-miR-2285h	miR-2285h
cfa-miR-424	miR-424
bta-miR-424-3p	miR-424-3p
ptr-miR-548a	miR-548aef
ptr-miR-548e	miR-548aef
ptr-miR-548f	miR-548aef
bta-miR-2285a	miR-2285/7859
bta-miR-7859	miR-2285/7859
bta-miR-2285p	miR-2285/2429
bta-miR-2429	miR-2285/2429
mml-miR-553	miR-553
mml-miR-570	miR-570
ptr-miR-548n	miR-548n
gga-miR-1643-3p	miR-1643-3p
mmu-miR-3473g	miR-3473g
bta-miR-2284ab	miR-2284ab/2284c/2284d/2284j/2284k/2284m/2284n/2284v
bta-miR-2284c	miR-2284ab/2284c/2284d/2284j/2284k/2284m/2284n/2284v
bta-miR-2284d	miR-2284ab/2284c/2284d/2284j/2284k/2284m/2284n/2284v
bta-miR-2284j	miR-2284ab/2284c/2284d/2284j/2284k/2284m/2284n/2284v
bta-miR-2284k	miR-2284ab/2284c/2284d/2284j/2284k/2284m/2284n/2284v
bta-miR-2284m	miR-2284ab/2284c/2284d/2284j/2284k/2284m/2284n/2284v
bta-miR-2284n	miR-2284ab/2284c/2284d/2284j/2284k/2284m/2284n/2284v
bta-miR-2284v	miR-2284ab/2284c/2284d/2284j/2284k/2284m/2284n/2284v
bta-miR-2446	miR-2446
mml-miR-548i-3p	miR-548i-3p
bta-miR-2284t-5p	miR-2284-5p
mml-miR-497-3p	miR-497-3p
mdo-miR-497-3p	miR-497-3p
mmu-miR-497a-3p	miR-497-3p
mdo-miR-15c-3p	miR-15c-3p
bta-miR-2285ad	miR-2285ad/2285y
bta-miR-2285y	miR-2285ad/2285y
bta-miR-2285l	miR-2285l
bta-miR-2285i	miR-2285i/2285k
bta-miR-2285k	miR-2285i/2285k
bta-miR-2285ab	miR-2285/2312
bta-miR-2285ac	miR-2285/2312
bta-miR-2285f	miR-2285/2312
bta-miR-2312	miR-2285/2312
mmu-miR-703	miR-703
bta-miR-2285m	miR-2285m
ptr-miR-553	miR-553
mml-miR-302a-5p	miR-302-5p/424-3p
mml-miR-424-3p	miR-302-5p/424-3p
bta-miR-2285aa	miR-2285aa
mml-miR-186-5p	miR-186-5p
ptr-miR-186	miR-186
cfa-miR-186	miR-186
bta-miR-186	miR-186
rno-miR-186-5p	miR-186-5p
mdo-miR-186-5p	miR-186-5p
mmu-miR-186-5p	miR-186-5p
rno-miR-743b-3p	miR-743b-3p
mmu-miR-743a-3p	miR-743ab-3p
mmu-miR-743b-3p	miR-743ab-3p
rno-miR-743a-3p	miR-743a-3p
gga-miR-1582	miR-1582
ptr-miR-1276	miR-1276
mml-miR-583	miR-583
ptr-miR-583	miR-583
mmu-miR-330-3p.2	miR-330-3p.2
rno-miR-742-3p	miR-742-3p
mmu-miR-742-3p	miR-742-3p
mmu-miR-3078-5p	miR-3078-5p
mml-miR-518b	miR-518bc-3p
mml-miR-518c-3p	miR-518bc-3p
ptr-miR-518a	miR-518-3p
ptr-miR-518b	miR-518-3p
ptr-miR-518c	miR-518-3p
ptr-miR-518d	miR-518-3p
ptr-miR-518f	miR-518-3p
ptr-miR-518g-3p	miR-518-3p
xtr-miR-9-3p	miR-9-3p
xtr-miR-9a-3p	miR-9-3p
xtr-miR-9b-3p	miR-9-3p
gga-miR-9-3p	miR-9-3p
xtr-miR-320	miR-320
mml-miR-320a	miR-320
mml-miR-320b	miR-320
mml-miR-320c	miR-320
ptr-miR-320a	miR-320
ptr-miR-320b	miR-320
ptr-miR-320c	miR-320
ptr-miR-320d	miR-320
ptr-miR-320e	miR-320
cfa-miR-320	miR-320
bta-miR-320a	miR-320a
rno-miR-320-3p	miR-320-3p
mdo-miR-9b-3p	miR-9b-3p
mmu-miR-320-3p	miR-320-3p
mdo-miR-7297-3p	miR-7297-3p
gga-miR-1456-5p	miR-1456-5p
mdo-miR-7258-5p	miR-7258-5p
mmu-miR-1668	miR-1668
mmu-miR-6946-5p	miR-6946-5p
mml-miR-548j-5p	miR-548j-5p
ptr-miR-548h	miR-548/548/559
ptr-miR-548i	miR-548/548/559
ptr-miR-548j	miR-548/548/559
ptr-miR-548o	miR-548/548/559
ptr-miR-559	miR-548/548/559
ptr-miR-548k	miR-548k
mdo-miR-7385e-3p	miR-7385e-3p
ptr-miR-548l	miR-548l
mdo-miR-7262b-5p	miR-7262b-5p
xtr-miR-17-5p	miR-17-5p/20-5p/20/93/106/427
xtr-miR-20a-5p	miR-17-5p/20-5p/20/93/106/427
xtr-miR-20b	miR-17-5p/20-5p/20/93/106/427
xtr-miR-93a	miR-17-5p/20-5p/20/93/106/427
xtr-miR-106	miR-17-5p/20-5p/20/93/106/427
xtr-miR-427	miR-17-5p/20-5p/20/93/106/427
gga-miR-17-5p	miR-17-5p/20-5p/106-5p
gga-miR-20a-5p	miR-17-5p/20-5p/106-5p
gga-miR-20b-5p	miR-17-5p/20-5p/106-5p
gga-miR-106-5p	miR-17-5p/20-5p/106-5p
mml-miR-17-5p	miR-106-5p/17-5p/20-5p/93-5p/519
mml-miR-20a-5p	miR-106-5p/17-5p/20-5p/93-5p/519
mml-miR-20b-5p	miR-106-5p/17-5p/20-5p/93-5p/519
